iteration,target_context_weight,docking_support_weight,solubility_no_chaperone_weight,E7_residual_weight,target_rank,best_competitor,score_gap
1,0.56842108772822419,0.17999047750474373,0.20028744744965174,0.051300987317380267,1,A0A7U4GHF9,0.25952775496968927
2,0.51859156871718848,0.2459104403657065,0.18403373548267829,0.051464255434426773,1,I7K2S1,0.22471801228061661
3,0.59890558368567082,0.19261581499554362,0.16601367938437869,0.04246492193440695,1,A0A7U4GHF9,0.26311856427972746
4,0.52491781442352747,0.19732729381799816,0.22467595304809909,0.05307893871037532,1,A0A7U4GHF9,0.24406200307910386
5,0.50041166916340762,0.21460411064563298,0.23969811160295162,0.045286108588007745,1,A0A7U4GHF9,0.2348975191507765
6,0.57860858946004823,0.16020222127382075,0.2121931446679155,0.048996044598215403,1,A0A7U4GHF9,0.26955235573864011
7,0.55188737704065971,0.21817855182113136,0.17104043280385139,0.058893638334357581,1,A0A7U4GHF9,0.23994720705417549
8,0.54733739798723902,0.17295856692347841,0.22858917261248707,0.05111486247679544,1,A0A7U4GHF9,0.25809901802000978
9,0.5832162636013869,0.20467897877591151,0.17579452100516929,0.036310236617532202,1,A0A7U4GHF9,0.25718878689941216
10,0.55623795290582989,0.18234682433894289,0.20630855205108334,0.055106670704143892,1,A0A7U4GHF9,0.25524446848755511
11,0.56529158644237076,0.1899452428512397,0.18975360705256214,0.055009563653827434,1,A0A7U4GHF9,0.25418928044945954
12,0.53192055218548306,0.21221073977419294,0.20844982230770795,0.047418885732615955,1,A0A7U4GHF9,0.24137058781101028
13,0.55111439850339405,0.21834611432752291,0.18799394482859721,0.042545542340485576,1,A0A7U4GHF9,0.24412593892577639
14,0.52621361871998973,0.2315613103282925,0.19859569049783357,0.043629380453884252,1,A0A7U4GHF9,0.23402188148767389
15,0.5056387246157823,0.22511818739975284,0.21003616510814666,0.059206922876318173,1,A0A7U4GHF9,0.22823637884391323
16,0.49873698694714741,0.2218512660255352,0.23063585916094331,0.048775887866373963,1,A0A7U4GHF9,0.23091663064341617
17,0.48289709939735559,0.22654328989691874,0.24330408070122334,0.047255530004502277,1,A0A7U4GHF9,0.22647523982882534
18,0.57542360737875009,0.19031114204150656,0.18235408176993229,0.051911168809810962,1,A0A7U4GHF9,0.25686187994782717
19,0.59859830935959957,0.17755911983603984,0.17305694355345375,0.050785627250906858,1,A0A7U4GHF9,0.26646668518527705
20,0.58184301460316346,0.21509352087538453,0.16113747209285634,0.041925992428595758,1,A0A7U4GHF9,0.2515082908594054
21,0.5428973885892856,0.19639581102734704,0.19656922425311371,0.064137576130253685,1,A0A7U4GHF9,0.24494866369807289
22,0.53464992200419215,0.20798682782442593,0.21882881007449856,0.038534440096883379,1,A0A7U4GHF9,0.24587353364588593
